Name	Location
BACH1	21q21.3
EIF4EBP3	5q31.3
WDR69	2q36.3
TNFRSF11A	18q21.33
LCE3E	1q21.3
DLG1-AS1	3q29
GNAT3	7q21.11
XRCC1	19q13.31
RBMXL1	1p22.2
MAP3K10	19q13.2
LINC00466	1p31.3
GDPD5	11q13.4-q13.5
P2RY11	19p13.2
GFPT1	2p13.3
FBN1	15q21.1
LRCH1	13q14.13-q14.2
FRMD5	15q15.3
STMN3	20q13.33
DGCR14	22q11.21; 22q11.2
PRPSAP2	17p11.2
SERP1	3q25.1
RAPSN	11p11.2
UNC79	14q32.12
RERG	12p12.3
C20orf166-AS1	20q13.33
CSN1S2BP	4q13.3
SETD3	14q32.2
FLII	17p11.2
TFR2	7q22.1
INTS6	13q14.3
MACROD2	20p12.1
AVPR2	Xq28
BSND	1p32.3
YWHAG	7q11.23
ZNF672	1q44
NSL1	1q32.3
WDR90	16p13.3
CCDC57	17q25.3
WIPI1	17q24.2
EPO	7q22.1
C6orf58	6q22.33
C3orf15	3q13.33
MIR3689A	9q34.3
SULT1E1	4q13.3
ZGPAT	20q13.33
FAM174B	15q26.1
C6orf48	6p21.33
TTC30B	2q31.2
SYNPO	5q33.1
CCDC62	12q24.31
CDK15	2q33.1
HM13-AS1	20q11.21
MAB21L2	4q31.3
C1orf141	1p31.3
TMEM194B	2q32.2
WDR31	9q32
PTGES3	12q13.3; 12
ABRA	8q23.1
CRYZ	1p31.1
SARDH	9q34.2
MYL9	20q11.23
PRR14L	22q12.2
C21orf37	21q21.1
RBPJL	20q13.12
FCRL3	1q23.1
HEATR5A	14q12
SNORD91B	17p13.3
TBC1D2	9q22.33
ERICH1	8p23.3
ZNF583	19q13.43
PDIA6	2p25.1
GORASP1	3p22.2
C12orf43	12q24.31
ODZ3	4q34.3-q35.1
MAEA	4p16.3
SPDYE5	7q11.23
C7orf31	7p15.3
FEZ2	2p22.2
COQ2	4q21.23
MIR133A2	20q13.33
AGPAT4	6q26
RNF145	5q33.3
DMRTA2	1p32.3
NRK	Xq22.3
ANKRD23	2q11.2
SIGIRR	11p15.5
CDK6	7q21.2
ZNF366	5q13.2; 5q13.2
PCDH10	4q28.3
MIR668	14q32.31
CHSY1	15q26.3
LOC100419868	10p11.21
ADAD2	16q24.1
BAMBI	10p12.1
ZCCHC11	1p32.3
C17orf99	17q25.3
P2RY1	3q25.2
3-Mar	
DEFT1P2	8p23.1
KRTAP10-11	21q22.3
APOBEC3B	22q13.1
LOC100129550	3q21.1
ADGB	6q24.3
TTLL12	22q13.2
CCDC64	12q24.23
SERPINE2	2q36.1
SIGLEC11	19q13.33
GIMAP8	7q36.1
DNPEP	2q35
FXN	9q21.11
TTK	
CILP	15q22.31
MIR3153	9q22.2
SLC36A3	5q33.1
STAU2	8q21.11
PCDHA1	5q31.3
ANKDD1A	15q22.31
SUMO1P1	20q13.2
CTSC	11q14.2
DDAH2	6p21.33
LOC100289673	5q21.3
LINC00313	21q22.3
TMEM132E	17q12
ABT1	6p22.2
DLEU1	13q14.2-q14.3
ST3GAL2	16q22.1
DEFB116	20q11.21
MIR4773-1	2q23.3
MIR568	3q13.31
MT1DP	16q13
MIR1288	17p11.2
GOLGA8IP	15q11.2
RPL4	15q22.31
ATF7IP2	16p13.2-p13.13
RBFOX2	22q12.3
MIR99B	19q13.41
GLTP	12q24.11
ARPC5L	9q33.3
LOC158376	9p13.3
SNRNP40	1p35.2
ENO3	17p13.2
MIR218-2	5q34
NAT6	3p21.31
SOCS3	17q25.3
ZBTB7A	19p13.3
INCENP	11q12.3
ZNF284	19q13.31
UBOX5-AS1	20p13
SLC30A7	1p21.2
LOC254896	8p21.3
H3F3C	
MIR1301	2p23.3
GJD2	15q14
CDRT15	17p12
LOC100506804	6q14.1
EPOR	19p13.2
ICAM3	19p13.2
C3orf45	3p21.31
SLC9A6	Xq26.3
C4orf36	4q21.3
HCN4	15q24.1
FAIM2	12q13.12
N4BP2L1	13q13.1
GREM1	15q13.3
WAC	10p12.1; 10p12.1-p11.2
TUT1	11q12.3
C22orf32	22q13.2
MIR4458	5p15.31
TMEM242	6q25.3
LIPK	10q23.31
RCC2	1p36.13
RTKN2	10q21.2
MLANA	9p24.1
IER5	1q25.3
BPIFB6	20q11.21
OR5H15	3q11.2
RIMBP3	22q11.21
FAM211B	22q11.23
SOX1	13q34
KL	13q13.1
MIR592	7q31.33
SLC39A9	14q24.1
OR1M1	19p13.2
POM121	7q11.23
PRICKLE2	3p14.1
IER3	6p21.33
PGK2	6p12.3
AAAS	12q13.13
NPY5R	4q32.2
LOC146880	17q24.1
BREA2	8q24.3
LTBP3	11q13.1
CCDC148	2q24.1
NUDT7	16q23.1
AMBRA1	11p11.2
LOC100131320	2q21.1
AGPAT3	21q22.3
REG1B	2p12
LOC728431	1p34.3
GOT2	16q21
CDK2	12q13.2
IL20RA	6q23.3
PRKACA	19p13.12
EOGT	3p14.1
THAP1	8p11.21
GOLGA2P5	12q23.1
PLEK	2p14
ZNF483	9q31.3
TNXA	6p21.33
SYCE1	10q26.3
MIOX	22q13.33
SF3B4	1q21.2
C14orf43	14q24.3
CCR2	3p21.31
ZAN	7q22.1
TXNRD2	22q11.21
LOC100506733	10q11.23
LGALS9C	17p11.2
HDAC2	6q21
MIR4638	5q35.3
ZNF778	16q24.3
RPS4X	Xq13.1
MIR4783	2q14.3
MTA1	14q32.33
PASK	2q37.3
PPY	17q21.31
MFAP1	15q15.3
RPL13AP20	12p13.1
WNT4	1p36.12
POM121L9P	22q11.23
MIR4510	15q14
EXOC6B	2p13.2
HM13	20q11.21
CXCR6	3p21.31
KLHL34	Xp22.12
SNORD83A	22q13.1
ZDHHC22	14q24.3
COX10	17p12
TMEM14A	6p12.2
SERPINB1	6p25.2
LOC100506054	2p25.3
FAM59B	2p23.3
ARID3A	19p13.3
DAZ1	Yq11.223
C6orf1	6p21.31
MMP1	11q22.2
LINC00608	2q35
UTP14A	Xq26.1
ZNF417	19q13.43
MIR548I3	8p23.1
SNORD62A	9q34.13
GAS5	1q25.1
MIR4327	21q22.11
LOC606724	16p11.2
SNORA66	1p22.1
RPL10A	6p21.31
MCM10	10p13
LINC00087	Xq26.3
AP1S1	7q22.1
MIR127	14q32.2
FBXL19	16p11.2
DUSP19	2q32.1
ANKRD44	2q33.1
GRIN2A	16p13.2
CCDC159	19p13.2
ECEL1P2	2q37.1
MRPS31P3	13q14.3
NR2F1	5q15
SMARCA4	19p13.2
YJEFN3	19p13.11
SLC29A4	7p22.1
C11orf31	11q12.1
NKAIN2	6q22.31
LCE2D	1q21.3
RIF1	2q23.3
ERP44	9q31.1
NDUFS5	1p34.3
MIR3689B	9q34.3
ST6GALNAC5	1p31.1
SFPQ	1p34.3
TBK1	12q14.2
KCND1	Xp11.23
RNASE7	14q11.2
ACBD5	10p12.1
MIR3186	17q25.3
TUBE1	6q21
SLX4	16p13.3
TMED9	5q35.3
MIR1178	12q24.23
SLC22A8	11q12.3
STC1	8p21.2
CPNE6	14q11.2
RASL12	15q22.31
RPF1	1p22.3
RELA	11q13.1
ZNF684	1p34.2
CYP4F12	19p13.12
CCDC51	3p21.31
SNORD49A	17p11.2
TIMM8A	Xq22.1
CLTA	9p13.3
GLI2	2q14.2
ULK4	3p22.1
C12orf77	12p12.1
PIN1	19p13.2
MAGOHB	12p13.2
MIR92A1	13q31.3
CAMLG	5q31.1
SLC1A7	1p32.3
KPTN	19q13.32
PLAGL2	20q11.21
NEIL1	15q24.2
SFSWAP	12q24.33
CHKB	22q13.33
RGS4	1q23.3
GJC2	1q42.13
LOC100129917	4p16.3
GPR27	3p13
BNIP3L	8p21.2
SPINT2	19q13.2
PAPPA2	1q25.2
BPI	20q11.23
CGB5	19q13.33
C1QTNF9B	13q12.12
LOC283440	12p13.33
GPN2	1p36.11
FAIM	3q22.3
LAPTM4B	8q22.1
SLC24A1	15q22.31
SLC18A2	10q25.3
HMGB2	4q34.1
GABRA3	Xq28
UBXN10	1p36.12
LINC00113	21q21.3
DAK	11q12.2
LOC100506343	1p13.2
KLK12	19q13.41
ZKSCAN1	7q22.1
CCL18	17q12
SPATA2L	16q24.3
SCGB3A1	5q35.3
PGLS	19p13.11
YAE1D1	7p14.1
KRT38	17q21.2
LRPPRC	2p21
MIR4534	22q13.1
SULT1C4	2q12.3
C13orf35	13q34
LRRC66	4q12
SLX1A-SULT1A3	16p11.2
MIR376A1	14q32.31
DEDD	1q23.3
LOC100505839	10q24.33
CYP4B1	1p33
MSGN1	2p24.2
CRYBA1	17q11.2
LGI4	19q13.12; 19q13.11
CD84	1q23.3
ZNF526	19q13.2
MYCBP	1p34.3
OR1J1	9q33.2
CLIP4	2p23.2
MATN4	20q13.12
RCL1	9p24.1
FARS2	6p25.1
OR6C4	12q13.2
USP42	7p22.1
PCM1	8p22
TAS2R3	7q34
CPQ	8q22.1
SAMHD1	20q11.23
DCX	Xq23
DEPTOR	8q24.12
TSPY8	Yp11.2
BRCA1	17q21.31
RGS14	5q35.3
TELO2	16p13.3
TMPRSS11B	4q13.2
PFDN1	5q31.3
LINGO2	9p21.2-p21.1
PPM1M	3p21.2
AMZ2	17q24.2
ZPBP2	17q21.1
ARL5C	17q12
HOXA9	7p15.2
CBFA2T3	16q24.3
LOC158434	9q22.32
DKFZp686D0853	Xq23
PIWIL2	8p21.3
LINC00379	13q31.3
TSPAN32	11p15.5
MTBP	8q24.12
RABL5	7q22.1
GPATCH3	1p36.11
FLJ22763	3q13.13
FAM205A	9p13.3
NDST3	4q26
LOC729080	5q31.3
DRAM2	1p13.3
PIP	7q34
PCDHAC1	5q31.3
SLMO2	20q13.32
NADKD1	5p13.2
SHROOM3	4q21.1
PIK3CB	3q22.3
ZNF205	16p13.3
ATP6V1E2	2p21; 2p16-p12
ZNF317	19p13.2
PPP2R2B	5q32
BTK	Xq22.1
MIR600HG	9q33.3
SCHIP1	3q25.32-q25.33
KCNK15	20q13.12
TNN	1q25.1
BSN-AS2	3p21.31
RQCD1	2q35
SPANXN2	Xq27.3
SPANXB2	Xq27.1
GMPPA	2q35
MIR638	19p13.2
HOXD1	2q31.1
NKX2-4	20p11.22
CCDC109B	4q25
NREP	5q22.1
STEAP1	7q21.13
WDR3	1p12
LOC401397	7q31.1
TMEM245	9q31.3
TMEM17	2p15
RARRES3	11q12.3
DTHD1	4p14
TTC39C	18q11.2
EFNA4	1q21.3
GSTTP2	22q11.23
KCNQ2	20q13.33
TOR1A	9q34.11
LRRTM3	10q21.3
WHAMM	15q25.2
ITGB1BP2	Xq13.1
GNGT2	17q21.32
RTN4RL2	11q12.1
EFHA2	8p22
IFNA8	9p21.3
MIR511-2	10p12.33
FSCB	14q21.2
LOC100289656	15q13.1
MRPL15	8q11.23
GCSAML	1q44
MIR200C	12p13.31
POLR3E	16p12.2
NLRP2	19q13.42
TMPRSS4	11q23.3
C1orf54	1q21.2
FAM86B2	8p23.1
RXFP2	13q13.1
POLD2	7p13
NFKB1	4q24
GLIPR2	9p13.3
FLJ42351	2q14.1
ACPP	
LHFPL3	7q22.2-q22.3
FLYWCH2	16p13.3
LY75	2q24.2
UBAC1	9q34.3
MIR3545	14q32.33
TUBGCP6	22q13.33
DEFB4A	8p23.1
AOC3	17q21.31
UBE4A	11q23.3
MIR4313	15q24.2
MFSD6L	17p13.1
HPDL	1p34.1
MT1F	16q13
ANKRD26	10p12.1
KPNA3	13q14.2
SNORA80	21q22.11
IFNA10	9p21.3
PFKFB3	10p15.1
MIR4436A	2p11.2
FGD4	12p11.21
ATP8B5P	9p13.3
SNORA7B	3q21.3
LOC729970	1p21.3
MIR4778	2p14
IL9	5q31.1
INO80	15q15.1
CDRT4	17p12
VANGL1	1p13.1
LOC339788	2p25.1
LZIC	1p36.22
SHISA8	22q13.2
TRAF6	11p12
ZNF7	8q24.3
UBAP1L	15q22.31
CTSL3	9q21.33
MYADML	2p22.3
RBM3	Xp11.23
MERTK	2q13
LOC100131060	1p32.1
MIR4318	18q12.2
CLN8	8p23.3
CFLAR	2q33.1
PRR20B	13q21.1
WDFY3	4q21.23
PPP1R3B	8p23.1
HOXA13	7p15.2
PPP1R15A	19q13.33
MIR5006	13q14.11
LINC00502	10q23.31
LNPEP	5q15
SCAMP4	19p13.3
CALM3	19q13.32
LHX3	9q34.3
PAK1	11q13.5-q14.1
MGAT4A	2q11.2
IGFLR1	19q13.12
CENPN	16q23.2
CASP7	10q25.3
RAB39A	11q22.3
TMEM87A	15q15.1
B9D1	17p11.2
CENPM	22q13.2
CHTF8	16q22.1
MIR1976	1p36.11
TMEM248	7q11.21
LOC643387	2q37.3
CAMTA2	17p13.2
RAF1	3p25.2
NEUROG2	4q25
C19orf77	19p13.3
CNN3	1p21.3
LOC339524	1p22.3
MYEOV	11q13.3
TRIM63	1p36.11
MIR4781	1p32.3
ELMO1	7p14.2-p14.1
TMEM131	2q11.2
ZNF326	1p22.2
MIR3913-2	12q15
OR8D4	11q24.1
TCEB1	8q21.11
LIPT1	2q11.2
RAC2	22q13.1
OSTF1	9q21.13
FOXN4	12q24.11
TMUB1	7q36.1
FAM206A	9q31.3
ZFYVE26	14q24.1
RASA3	13q34
CACTIN-AS1	19p13.3
PLCG1	20q12
NPHP3-AS1	3q22.1
FLNA	Xq28
LOC338817	12p13.2
TIPARP	3q25.31
LOC389247	4q35.1
GALNTL2	3p25.1
LOC100128420	Xq26.3
CNIH	14q22.2
MIR522	19q13.42
SLC25A42	19p13.11
NXPH3	17q21.33
MIR3169	13q21.2
PCCB	3q22.3
CNGA2	Xq28
TRIM36	5q22.3
POLR2J3	7q22.1
ZSWIM4	19p13.13-p13.12
C2orf78	2p13.1
HEATR6	17q23.1
AP1AR	4q25
CYP4F8	19p13.12
HIF1AN	10q24.31
CHRM1	11q12.3
WASF2	1p36.11
VGLL2	6q22.1
MET	7q31.2
RHOF	12q24.31
LYZL4	3p22.1
LOC100129216	11q13.4
RIPK4	21q22.3
LINC00229	22q13.31
DGKK	Xp11.22
ETFA	15q24.2-q24.3
CLSTN3	12p13.31
MIR2276	13q12.12
KLHL4	Xq21.31
RTEL1-TNFRSF6B	20q13.33
FLI1-AS1	11q24.3
UCK1	9q34.13
ABCG4	11q23.3
BTF3P11	13q22.3
MIR3689F	9q34.3
HES6	2q37.3
CYP11B2	8q24.3
CEP68	2p14
SLC7A11	4q28.3
KRT72	12q13.13
CORO7-PAM16	16p13.3
SLC37A3	7q34
MRPL17	11p15.4
C2orf40	2q12.2
PABPN1	14q11.2
MIR934	Xq26.3
CYR61	1p22.3
UBA52	19p13.11
ARMC1	8q13.1
MAFG	17q25.3
SPDYC	11q13.1
C1orf105	1q24.3
GCFC1	21q22.11
RBL1	20q11.23
SNORD115-32	15q11.2
IMPA2	18p11.21
RYR2	1q43
LRRC15	3q29
RUNDC3B	7q21.12
IL4	5q31.1
VEPH1	3q25.31-q25.32
CPB1	3q24
GJB3	1p34.3
TRIAP1	12q24.31
MIR520E	19q13.42
MCOLN2	1p22.3
ITGA6	2q31.1
GRAMD3	5q23.2
ARHGAP33	19q13.12
MIR4281	5q35.2
SMG1	16p12.3
TIMM8B	11q23.1
TBP	6q27
CYP2W1	7p22.3
ZNF592	15q25.3
UBE3A	15q11.2
LOC645752	15q24.3
PCDH11X	Xq21.31
ZCCHC5	Xq21.1
GDA	9q21.13
SIX6	14q23.1
PMP2	8q21.13
MRPS6	21q22.11
C17orf51	17p11.2
SNORD68	16q24.3
TFIP11	22q12.1
CXorf58	Xp22.11
LOC100128993	8p22-p21.3
PRRG4	11p13
SMR3B	4q13.3
TSPYL4	6q22.1
LINC00441	13q14.2
PIGB	15q21.3
ZNRF3-AS1	22q12.1
IPCEF1	6q25.2
C7orf10	7p14.1
LOC100506888	18q21.1
IFT57	3q13.12-q13.13
ZNF673	Xp11.3
GTF3C6	6q21
LOC100507547	6p21.32
MIR450A1	Xq26.3
ANKRD22	10q23.31
C4orf48	4p16.3
A4GALT	22q13.2
RPS10P7	1q32.1
LOC100505783	20q13.12
FLVCR2	14q24.3
MAGEE2	Xq13.3
SLC39A1	1q21.3
MIR1248	3q27.3
MS4A6E	11q12.2
C1orf56	1q21.3
SPSB1	1p36.22
PSD3	8p22
PID1	2q36.3
CENPBD1	16q24.3
KLF11	2p25.1
MIR5702	2q36.3
ABCC6P1	16p12.3
MIR105-1	Xq28
SNORD115-4	15q11.2
SIPA1L2	1q42.2
SOX18	20q13.33
NDUFC2-KCTD14	11q14.1
LOC641746	7q11.21
XPO5	6p21.1
NHSL1	6q24.1
TAS2R16	7q31.32; 7q31
OR12D2	6p22.1
BRD7	16q12.1
RPS27	1q21.3
ENOPH1	4q21.22
LYPD4	19q13.2
ENTPD8	9q34.3
AP1B1P1	22q12.3
CACNB2	10p12.33-p12.31
OR11H12	14q11.2
PIGP	21q22.13
BRWD1-IT2	21q22.2
COMMD3	10p12.2
ICK	
GRB7	17q12
HEATR3	16q12.1
HOXB7	17q21.32
MEI1	22q13.2
MIR500B	Xp11.23
ROGDI	16p13.3
DRAP1	11q13.1
MIR4737	17q23.1
ARPC4	3p25.3
MESP2	15q26.1
ARHGDIG	16p13.3
PPM1H	12q14.1-q14.2
FEZF1-AS1	7q31.32
GTF2H4	6p21.33
ELFN1	7p22.3
NDUFB1	14q32.12
UTP15	5q13.2
C16orf92	16p11.2
EMC8	16q24.1
SNORD69	3p21.1
CPXM2	10q26.13
PLXNA2	1q32.2
ANKRD49	11q21
MIR4535	22q13.32
F2RL3	19p13.11
PRRC2A	6p21.33
LOC100128288	17p13.1
CHN1	2q31.1
PNLIPRP2	10q25.3
PMS2P4	7q11.21
TMEM161B-AS1	5q14.3
TRNP1	1p36.11
FJX1	11p13
IFFO1	12p13.31
C1QTNF5	11q23.3
AIPL1	17p13.2
SLU7	5q33.3
INADL	1p31.3
EXOC6	10q23.33
ALDOA	16p11.2
KLC4	6p21.1
MIR548AL	11q13.4
ELSPBP1	19q13.33
SLC17A4	6p22.2
OR2J3	6p22.1
ASMTL-AS1	X;Y
HMOX1	22q12.3
C6orf163	6q15
TBX1	22q11.21
GLTSCR2	19q13.33
MIR4300	11q14.1
UTP11L	1p34.3
HSPB2-C11orf52	11q23.1
IFNA6	9p21.3
EMR3	19p13.12
PTPRE	10q26.2
TAS2R10	12p13.2
VIPAS39	14q24.3
KIAA1683	19p13.11
CCNT1	12q13.11-q13.12
ADRB3	8p11.23
GZMH	14q12
RND2	17q21.31
C19orf12	19q12
ZFC3H1	12q21.1
PPP1R14A	19q13.2
CAMK2B	7p13
PRKAB1	12q24.23
ZNF676	19p12
KIAA1524	3q13.13
PPP1CA	11q13.2
EIF2A	3q25.1
GNAS-AS1	20q13.32
FASTKD2	2q33.3
IFI35	17q21.31
KRT36	17q21.2
COG5	7q22.3
DICER1	14q32.13
LOC100268168	5q35.1
JAKMIP1	4p16.1
BCAR1	16q23.1
CCDC102B	18q22.1-q22.2
SNORA14B	1q42.3
MIR449B	5q11.2
LOC100128714	15q12
STK10	5q35.1
LOC400655	18q22.3
HAPLN4	19p13.11
C7orf72	7p12.2
FAM66D	8p23.1
TMEM120A	7q11.23
ANO3	11p14.3-p14.2
EFHC1	6p12.2
GPBAR1	2q35
PDE10A	6q27
OR5M3	11q12.1
LOR	8p21.3
DPY19L4	8q22.1
TWIST1	7p21.1
ZNF579	19q13.42
GPI	19q13.11
TCEA1	8q11.23
LOC100507117	8q24.21
STAT6	12q13.3
SCGB2A2	11q12.3
CYP4Z1	1p33
TRIP12	2q36.3
GEMIN7	19q13.32
IFI16	1q23.1
SPRNP1	10q26.3
TMEM160	19q13.32
DNM3OS	1q24.3
LOC339622	21q21.2
DOCK10	2q36.2
TRIM21	11p15.4
TRAPPC8	18q12.1
SNHG10	14q32.13
GADL1	3p24.1-p23
DPP4	2q24.2
LAMTOR1	11q13.4
ARL14EPL	5q23.1
ZNF433	19p13.2
TXN	9q31.3
CIB1	15q26.1
LOC100134368	16p13.3
ARL5B	10p12.31
STXBP4	17q22
STEAP4	7q21.12
EPS8L3	1p13.3
APBB1IP	10p12.1
MED13	17q23.2
ZNF32-AS1	10q11.21
CYB5R1	1q32.1
NKX2-1	14q13.3
CPOX	3q11.2
MAPKAPK3	3p21.2
PLEKHH3	17q21.2
GUSBP9	5q13.2
IGFL3	19q13.32
REXO4	9q34.2
RIOK3	18q11.2
EEF1A2	20q13.33
ZNF501	3p21.31
WTAP	6q25.3
SH2D7	15q25.1
ITFG2	12p13.33
YIF1B	19q13.2
CTSG	14q12
CERS2	1q21.3
CYBA	16q24.2
LMBR1	7q36.3
LPP-AS2	3q27.3
DCAF4L2	8q21.3
MAGOH2	17p13.1
B4GALNT2	17q21.32
HERC5	4q22.1
YPEL3	16p11.2
MFN1	3q26.33
C8orf69	8q22.1
TRIM15	6p22.1
LOC150381	22q13.31
ZFP36L2	2p21
DEF8	16q24.3
LGALS1	22q13.1
DUSP10	1q41
FGF21	19q13.33
SLC19A3	2q36.3
FAM198B	4q32.1
HCG25	6p21.32
PGBD4	15q14
CCR1	3p21.31
ZSWIM1	20q13.12
TTC37	5q15
ICOS	2q33.2
FLJ42969	8q22.3
ANKZF1	2q35
RAI1	17p11.2
ATXN2L	16p11.2
NCKAP1	2q32.1
NCKIPSD	3p21.31
KRTAP10-1	21q22.3
GRIN2D	19q13.33
BMP1	8p21.3
LINC00612	12p13.31
CXorf69	Xq26.3
CLEC1A	12p13.2
FBN2	5q23.3
OR5D14	11q11
RAX	18q21.32
HSPG2	1p36.12
CAPG	2p11.2
MYOM2	8p23.3
EDDM3A	14q11.2
RBP4	10q23.33
SLC17A7	19q13.33
POLR3G	5q14.3
DIDO1	20q13.33
LINC00636	3q13.12
TAS2R50	12p13.2
TEK	9p21.2
FCRL1	1q23.1
MIR125A	19q13.41
CPNE3	8q21.3
LINC00626	1q24.2
TRIM77P	11q14.3
IDE	10q23.33
LOC100505918	1q24.2
HSPB1	7q11.23
CKLF-CMTM1	
LOC100506190	9q34.11
MITD1	2q11.2
ZHX1	8q24.13
MIR3613	13q14.2
SYNE1	6q25.2
CCL4	17q12
RGS16	1q25.3
NFU1	2p13.3
TCHH	1q21.3
PDPK1	16p13.3
MIR569	3q26.2
C1orf192	1q23.3
MIR18B	Xq26.2
LOC729603	6q25.3
LOC100507472	15q26.3
ASB16	17q21.31
DPH1	17p13.3
OR2A2	7q35
CCDC104	2p16.1
MIR617	12q21.31
GADD45A	1p31.3
GAGE12F	Xp11.23
PRCP	11q14.1
VPS45	1q21.2
ZNF529	19q13.12
PIGS	17q11.2
RACGAP1P	12q12
GOLGA6C	15q24.2
MFSD11	17q25.1-q25.2
NEDD9	6p24.2
GCFC2	2p12
NUP62CL	Xq22.3
GPR50	Xq28
SERPINA12	14q32.13
CLEC16A	16p13.13
COPS4	4q21.22
LINC00640	14q22.1
OR4D6	11q12.1
MIR4792	
UCN3	10p15.1
FAM174A	5q21.1
RMRP	9p13.3
TRIP11	14q32.12
GPR6	6q21
SNORD42B	17q11.2
TMEM175	4p16.3
CNKSR1	1p36.11
OR9A4	7q34
POU5F1P4	1q22
TSNAX-DISC1	1q42.2
ARNTL2	12p11.23
AHSA2	
LINC00094	9q34.2
DSG1	18q12.1
NOTUM	17q25.3
WFDC1	16q24.1
C6orf195	6p25.2
TMEM129	4p16.3
TM2D2	8p11.22
TSPY26P	20q11.21
ZNF12	7p22.1
GID8	20q13.33
TSSC1	2p25.3
ING5	2q37.3
DIMT1	5q12.1
ERO1LB	1q42.3
LAMB1	7q31.1
PTX4	16p13.3
C6orf228	6p24.2
RTN2	19q13.32
MCHR2	6q16.2
SMAD7	18q21.1
MGC16142	7q21.2
MIR4759	21q21.3
TIA1	2p13.3
MALAT1	11q13.1
KIF1A	2q37.3
SVIL	10p11.23
LINC00649	21q22.11
LOC100132735	6q26
MORN2	2p22.1
C6orf165	6q15
KIR2DL4	19q13.42
OTX2-AS1	14q22.3
DYNC2LI1	2p21
MIR604	10p11.23
CDC42EP3	2p22.2
RIN2	20p11.23
CPA5	7q32.2
C4B	6p21.33
MEF2A	15q26.3
MIR3146	7p21.1
HAGH	16p13.3
CYTH1	17q25.3
AQP7P3	9q21.11
ZNF775	7q36.1
CST8	20p11.21
MYT1L	2p25.3
FOXD4L1	2q14.1
RPL14	3p22.1
ZBTB46	20q13.33
OR2A12	7q35
CXADRP2	15q11.2
KRT33A	17q21.2
VCX3A	Xp22.31
FLJ12334	2p24.1
TCEAL8	Xq22.1
FMO6P	1q24.3
PRTFDC1	10p12.1
MTMR12	5p13.3
LOC389043	2q21.1
ZNF706	8q22.3
MIR4694	11p15.1
HES2	1p36.31
FAM3C	7q31.31
TIGD2	4q22.1
DEFB110	6p12.3
CLN3	16p12.1
CATSPER2	15q15.3
NDUFB9	8q24.13
MGAM	7q34
FAM18B2	17p12
DDX60	4q32.3
LOC100506314	12p13.1
ASH1L-AS1	1q22
LIMA1	12q13.12
KRTAP10-2	21q22.3
PACSIN2	22q13.2
AVPR1A	12q14.2
CADPS	3p14.2
CACNA1C-AS1	12p13.33
WFDC13	20q13.12
TEX19	17q25.3
POLB	8p11.21
CD3EAP	19q13.32
CLEC2D	12p13.31
LPPR1	9q31.1
MPLKIP	7p14.1
EHMT2	6p21.33
C7orf66	7q31.1
LOC284260	18q12.3
TSGA10IP	11q13.1
PLCZ1	12p12.3
TTTY14	Yq11.222
DNAH10	12q24.31
T	
LOC284581	1q32.1
ZDBF2	2q33.3
FGFR4	5q35.2
ERCC6L	Xq13.1
TRIM54	2p23.3
PRDX1	1p34.1
OTUD4	4q31.21
MIR4275	4p15.1
CALR3	19p13.11
SGOL2	2q33.1
FAM171A1	10p13
KIF2A	5q12.1
MIR3200	22q12.2
MIR1292	11p11.2
GALE	1p36.11
MIR4257	1q21.2
INO80B	2p13.1
LOC100129138	1p21.1
MIR3652	12q23.3
MRPL37	1p32.3
MIR4284	7q11.23
LOC100506388	17p13.3
LOC100128750	8p12
LRRC4C	11p12
NOL9	1p36.31
LOC100506710	9p13.2
PTGER4	5p13.1
OR8D1	11q24.2
ZRANB3	2q21.3
DIAPH1	5q31.3
LRRC37A6P	10p12.1
DNAJC5B	8q13.1
MIR296	20q13.32
NBPF3	1p36.12
ROPN1L	5p15.2
HKDC1	10q22.1
TTLL13	15q26.1
TXNRD1	12q23.3
PRRC2B	9q34.13
NKX2-2	20p11.22
GPR1	2q33.3
FBXW4	10q24.32
CRYGB	2q33.3
ZNF534	19q13.41
VPRBP	3p21.2
ALOX12	17p13.1
TRH	3q22.1
LHFPL3-AS2	7q22.2-q22.3
C1orf162	1p13.2
WNT10A	2q35
SLC27A4	9q34.11
KDELR3	22q13.1
EDDM3B	14q11.2
MLL4	19q13.12
PDE4B	1p31.3
TPCN2	11q13.3
NLRC5	16q13
RPS6KA3	Xp22.12
FAM78B	1q24.1
CSTF1	20q13.2-q13.31
MIR4786	2q37.3
LOC256880	4q23
QPRT	16p11.2
FCGR1C	1q21.1
FAM172A	5q15
RASA2	3q23
CADM2-AS2	3p12.1
OMG	17q11.2
MOSPD3	7q22.1
CAMSAP1	9q34.3
POLD1	19q13.33
FOXJ3	1p34.2
ZNF865	19q13.42
SNORD116-13	15q11.2
MIR1908	11q12.2
CDC14A	1p21.2
B3GALT4	6p21.32
F9	Xq27.1
PXDC1	6p25.2
FEZF1	7q31.32
MBD3L5	19p13.2
FAM213B	1p36.32
POU6F1	12q13.13
ZNF480	19q13.41
ZNF628	19q13.42
FAM86EP	4p16.3
SNORD47	1q25.1
PDZD4	Xq28
ATE1	10q26.13
SLC9A3	5p15.33
INHBB	2q14.2
SLC8A1-AS1	2p22.1
CENPJ	13q12.12-q12.13
HAUS3	4p16.3
PM20D2	6q15
LINC00226	14q32.33
C17orf112	17q22
GOLM1	9q21.33
